2020-07-03 11:14:48 status half-installed libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:48 status unpacked libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:48 status unpacked libc6:arm64 2.27-3ubuntu1
2020-07-03 11:14:48 install libcap-ng0:arm64 <none> 0.7.7-3.1
2020-07-03 11:14:48 status half-installed libcap-ng0:arm64 0.7.7-3.1
2020-07-03 11:14:49 status unpacked libcap-ng0:arm64 0.7.7-3.1
2020-07-03 11:14:49 status unpacked libcap-ng0:arm64 0.7.7-3.1
2020-07-03 11:14:49 install libcom-err2:arm64 <none> 1.44.1-1
2020-07-03 11:14:49 status half-installed libcom-err2:arm64 1.44.1-1
2020-07-03 11:14:49 status unpacked libcom-err2:arm64 1.44.1-1
2020-07-03 11:14:49 status unpacked libcom-err2:arm64 1.44.1-1
2020-07-03 11:14:50 install libdb5.3:arm64 <none> 5.3.28-13.1ubuntu1
2020-07-03 11:14:50 status half-installed libdb5.3:arm64 5.3.28-13.1ubuntu1
2020-07-03 11:14:50 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2020-07-03 11:14:50 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2020-07-03 11:14:50 install libdebconfclient0:arm64 <none> 0.213ubuntu1
2020-07-03 11:14:50 status half-installed libdebconfclient0:arm64 0.213ubuntu1
2020-07-03 11:14:50 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2020-07-03 11:14:50 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2020-07-03 11:14:50 install libext2fs2:arm64 <none> 1.44.1-1
2020-07-03 11:14:50 status half-installed libext2fs2:arm64 1.44.1-1
2020-07-03 11:14:50 status unpacked libext2fs2:arm64 1.44.1-1
2020-07-03 11:14:50 status unpacked libext2fs2:arm64 1.44.1-1
2020-07-03 11:14:51 install libfdisk1:arm64 <none> 2.31.1-0.4ubuntu3
2020-07-03 11:14:51 status half-installed libfdisk1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:51 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:51 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:51 install libgcc1:arm64 <none> 1:8-20180414-1ubuntu2
2020-07-03 11:14:51 status half-installed libgcc1:arm64 1:8-20180414-1ubuntu2
2020-07-03 11:14:51 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2020-07-03 11:14:51 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2020-07-03 11:14:51 install libgcrypt20:arm64 <none> 1.8.1-4ubuntu1
2020-07-03 11:14:51 status half-installed libgcrypt20:arm64 1.8.1-4ubuntu1
2020-07-03 11:14:51 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2020-07-03 11:14:51 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2020-07-03 11:14:52 install libgpg-error0:arm64 <none> 1.27-6
2020-07-03 11:14:52 status half-installed libgpg-error0:arm64 1.27-6
2020-07-03 11:14:52 status unpacked libgpg-error0:arm64 1.27-6
2020-07-03 11:14:52 status unpacked libgpg-error0:arm64 1.27-6
2020-07-03 11:14:52 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu3
2020-07-03 11:14:52 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu3
2020-07-03 11:14:52 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2020-07-03 11:14:52 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2020-07-03 11:14:52 install liblzma5:arm64 <none> 5.2.2-1.3
2020-07-03 11:14:52 status half-installed liblzma5:arm64 5.2.2-1.3
2020-07-03 11:14:52 status unpacked liblzma5:arm64 5.2.2-1.3
2020-07-03 11:14:52 status unpacked liblzma5:arm64 5.2.2-1.3
2020-07-03 11:14:52 install libmount1:arm64 <none> 2.31.1-0.4ubuntu3
2020-07-03 11:14:52 status half-installed libmount1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:53 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:53 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:53 install libncurses5:arm64 <none> 6.1-1ubuntu1
2020-07-03 11:14:53 status half-installed libncurses5:arm64 6.1-1ubuntu1
2020-07-03 11:14:53 status unpacked libncurses5:arm64 6.1-1ubuntu1
2020-07-03 11:14:53 status unpacked libncurses5:arm64 6.1-1ubuntu1
2020-07-03 11:14:53 install libncursesw5:arm64 <none> 6.1-1ubuntu1
2020-07-03 11:14:53 status half-installed libncursesw5:arm64 6.1-1ubuntu1
2020-07-03 11:14:53 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2020-07-03 11:14:53 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2020-07-03 11:14:53 install libpam-modules:arm64 <none> 1.1.8-3.6ubuntu2
2020-07-03 11:14:53 status half-installed libpam-modules:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 install libpam-modules-bin:arm64 <none> 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status half-installed libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-07-03 11:14:55 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-07-03 11:14:56 install libpam0g:arm64 <none> 1.1.8-3.6ubuntu2
2020-07-03 11:14:56 status half-installed libpam0g:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:56 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:56 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2020-07-03 11:14:56 install libpcre3:arm64 <none> 2:8.39-9
2020-07-03 11:14:56 status half-installed libpcre3:arm64 2:8.39-9
2020-07-03 11:14:56 status unpacked libpcre3:arm64 2:8.39-9
2020-07-03 11:14:56 status unpacked libpcre3:arm64 2:8.39-9
2020-07-03 11:14:56 install libprocps6:arm64 <none> 2:3.3.12-3ubuntu1
